,EURUSD,AUDUSD,EURCAD,GBPUSD,EURAUD,GBPCAD,NZDUSD,AUDCAD,NZDCAD,EURNZD,GBPJPY,EURJPY,GBPNZD,CHFJPY,EURGBP,GBPAUD,NZDJPY,AUDJPY,AUDNZD,EURCHF,CADJPY,GBPCHF,USDJPY,NZDCHF,USDCAD,AUDCHF,CADCHF,USDCHF
EURUSD,,84,78,69,67,56,54,52,43,39,36,35,33,32,21,21,13,10,4,-7,-17,-19,-35,-37,-51,-56,-70,-89
AUDUSD,84,,50,61,16,37,68,59,55,7,26,24,-5,25,13,-2,34,18,-2,-17,-10,-17,-36,-14,-64,-24,-51,-80
EURCAD,78,50,,30,74,51,0,78,14,77,61,68,55,57,48,-1,24,41,46,1,9,-36,13,-66,14,-56,-85,-67
GBPUSD,69,61,30,,41,86,84,6,77,-24,9,-30,39,-33,-57,78,-24,-48,-58,22,-66,52,-78,31,-68,-15,-14,-49
EURAUD,67,16,74,41,,52,4,15,3,61,31,32,67,24,21,40,-22,-7,9,11,-18,-11,-15,-48,-5,-68,-57,-53
GBPCAD,56,37,51,86,52,,51,26,67,-1,31,-13,68,-23,-51,79,-23,-35,-36,37,-59,55,-52,17,-19,-12,-23,-31
NZDUSD,54,68,0,84,4,51,,-4,87,-57,-23,-47,-19,-40,-52,51,-11,-51,-74,1,-63,39,-84,49,-86,-2,2,-45
AUDCAD,52,59,78,6,15,26,-4,,18,55,61,69,18,62,51,-39,55,67,60,-9,29,-42,33,-52,25,-19,-71,-49
NZDCAD,43,55,14,77,3,67,87,18,,-53,-12,-42,-9,-39,-55,53,-6,-45,-69,12,-68,46,-72,51,-49,7,-5,-31
EURNZD,39,7,77,-24,61,-1,-57,55,-53,,60,85,53,74,77,-36,24,64,84,-8,52,-60,57,-89,44,-53,-70,-37
GBPJPY,36,26,61,9,31,31,-23,61,-12,60,,81,54,73,29,-9,69,72,55,-15,58,-28,55,-58,27,-35,-60,-38
EURJPY,35,24,68,-30,32,-13,-47,69,-42,85,81,,25,95,80,-56,72,92,85,-32,79,-74,75,-88,38,-49,-75,-46
GBPNZD,33,-5,55,39,67,68,-19,18,-9,53,54,25,,9,-14,53,-24,-2,21,38,-12,27,1,-28,23,-23,-27,-11
CHFJPY,32,25,57,-33,24,-23,-40,62,-39,74,73,95,9,,80,-61,77,91,78,-60,82,-86,73,-91,29,-62,-81,-55
EURGBP,21,13,48,-57,21,-51,-52,51,-55,77,29,80,-14,80,,-81,47,76,82,-37,69,-91,65,-83,34,-44,-61,-35
GBPAUD,21,-2,-1,78,40,79,51,-39,53,-36,-9,-56,53,-61,-81,,-57,-76,-72,41,-75,79,-71,49,-35,1,23,2
NZDJPY,13,34,24,-24,-22,-23,-11,55,-6,24,69,72,-24,77,47,-57,,85,46,-50,78,-57,63,-43,12,-21,-47,-34
AUDJPY,10,18,41,-48,-7,-35,-51,67,-45,64,72,92,-2,91,76,-76,85,,86,-39,91,-74,85,-73,42,-24,-56,-26
AUDNZD,4,-2,46,-58,9,-36,-74,60,-69,84,55,85,21,78,82,-72,46,86,,-17,77,-69,83,-80,59,-20,-49,-12
EURCHF,-7,-17,1,22,11,37,1,-9,12,-8,-15,-32,38,-60,-37,41,-50,-39,-17,,-45,73,-28,52,11,66,52,52
CADJPY,-17,-10,9,-66,-18,-59,-63,29,-68,52,58,79,-12,82,69,-75,78,91,77,-45,,-71,91,-64,40,-20,-31,-6
GBPCHF,-19,-17,-36,52,-11,55,39,-42,46,-60,-28,-74,27,-86,-91,79,-57,-74,-69,73,-71,,-61,85,-20,62,69,50
USDJPY,-35,-36,13,-78,-15,-52,-84,33,-72,57,55,75,1,73,65,-71,63,85,83,-28,91,-61,,-62,74,-10,-26,17
NZDCHF,-37,-14,-66,31,-48,17,49,-52,51,-89,-58,-88,-28,-91,-83,49,-43,-73,-80,52,-64,85,-62,,-33,75,84,56
USDCAD,-51,-64,14,-68,-5,-19,-86,25,-49,44,27,38,23,29,34,-35,12,42,59,11,40,-20,74,-33,,11,-7,48
AUDCHF,-56,-24,-56,-15,-68,-12,-2,-19,7,-53,-35,-49,-23,-62,-44,1,-21,-24,-20,66,-20,62,-10,75,11,,82,78
CADCHF,-70,-51,-85,-14,-57,-23,2,-71,-5,-70,-60,-75,-27,-81,-61,23,-47,-56,-49,52,-31,69,-26,84,-7,82,,84
USDCHF,-89,-80,-67,-49,-53,-31,-45,-49,-31,-37,-38,-46,-11,-55,-35,2,-34,-26,-12,52,-6,50,17,56,48,78,84,
